estimator,units,estimate,lo,hi,p_value,n,p_fdr,sign
"OLS, dyad level, cluster-robust",per decade,0.01336579527637062,0.00927345021655579,0.01745814033618545,1.5402279968205415e-10,12000,4.1072746581881106e-10,1
"OLS, agent-game level, cluster-robust",per decade,0.01336579527637056,0.009273535488844253,0.017458055063896867,1.5388827431975281e-10,24000,4.1072746581881106e-10,1
"logistic GLM, rounds, cluster-robust (marginal)",per decade,0.013413883296736186,0.009335961076592021,0.017491805516880354,1.1401871672527559e-10,240000,4.1072746581881106e-10,1
"mean of 1,200 per-cell slopes",per decade,0.013365795276370397,0.009273545552648203,0.01745804500009259,2.201634912910181e-10,1200,4.403269825820362e-10,1
"median of 1,200 per-cell slopes",per decade,0.00039457220216384083,0.0,0.0026334009149140154,8.995272220774928e-07,1200,1.4392435553239885e-06,1
mean per-cell Spearman rho,rank correlation,0.02140632213592499,-0.008981234602572588,0.05114157103972954,0.15035453005032912,1123,0.15035453005032912,1
"permutation test, linear slope",per decade,0.013365795276370426,,,0.0001999600079984003,12000,0.00022852572342674322,1
"permutation test, max-min of level means",cooperation,0.12483333333333335,,,0.0001999600079984003,12000,0.00022852572342674322,1
