strategy,n,share,mean_utility,lo,hi,mean_efficiency,mean_coop_rate,mean_opp_coop_rate,utility_std_by_opp,n_strata_covered,u_opp_0-0.2,n_opp_0-0.2,u_opp_0.2-0.5,n_opp_0.2-0.5,u_opp_0.5-0.8,n_opp_0.5-0.8,u_opp_0.8-1.0,n_opp_0.8-1.0
AllC,2666,0.11108333333333334,0.30349587396849215,0.2935176294073519,0.3135041260315079,0.37936984246061517,1.0,0.37936984246061517,0.4473071574734646,4,0.06197358197358198,1287,0.3031963470319635,438,0.5779649122807018,570,0.72,371
TFT,75,0.003125,0.6674666666666668,0.64226,0.6913400000000001,0.8343333333333331,0.7853333333333333,0.7533333333333333,0.5949732407407409,4,0.4028571428571429,7,0.5233333333333333,6,0.6411111111111112,18,0.7400000000000001,44
WSLS,61,0.0025416666666666665,0.6327868852459018,0.6068688524590165,0.6560655737704919,0.7909836065573771,0.8344262295081967,0.7163934426229507,0.45892266651846503,3,0.32999999999999996,2,0.4366666666666667,6,0.6664150943396226,53,,0
GRIM,109,0.004541666666666667,0.5611009174311927,0.5399999999999999,0.5838532110091743,0.7013761467889909,0.21743119266055053,0.3743119266055046,0.5640292965222675,3,0.44863636363636367,44,0.5745945945945946,37,0.72,28,,0
AllD,2652,0.1105,0.6058823529411765,0.5952656141959535,0.6168906615612769,0.7573529411764706,0.0,0.3431372549019608,0.7462604663228825,4,0.4134195933456562,1623,0.6367123287671232,146,0.8317460317460318,189,0.9879827089337175,694
ambiguous,4245,0.176875,0.7946949352179034,0.7933781642891682,0.795936736037735,0.9933686690223793,0.9903886925795052,0.9888574793875147,0.6190844633567248,4,0.3751515151515151,33,0.53,8,0.6843478260869565,23,0.7991198277923942,4181
unclassified,14192,0.5913333333333334,0.5944715332581736,0.5913610451959129,0.5977154658892534,0.743089416572717,0.5034737880496055,0.5558695039458851,0.6181947531577445,4,0.2972094430992736,3304,0.49193379310344826,3625,0.6873789745058722,3491,0.867407211028632,3772
