level,cluster_variable,n_obs,n_clusters,slope,se,lo,hi,p,ci_width,ci_width_ratio_vs_naive,design_effect
"round, no clustering",none (naive iid),240000,240000,0.013365795276363035,0.0007265581096355655,0.011941760367069286,0.014789830185656784,1.5931044440567665e-75,0.002848069818587498,1.0,1.0
"round, cluster game","game (12,000)",240000,12000,0.013365795276363035,0.0020653997824647058,0.009317686089055349,0.01741390446367072,9.7171505328378e-11,0.008096218374615372,2.842703616946686,8.080963853801771
"round, cluster cell","CRN cell (1,200)",240000,1200,0.013365795276363035,0.0020878868618870823,0.00927361222327,0.01745797832945607,1.5376731162762322e-10,0.008184366106186069,2.873653606653895,8.25788505103494
"agent-game, cluster cell","CRN cell (1,200)",24000,1200,0.01336579527637056,0.0020879260128275475,0.009273535488844253,0.017458055063896867,1.5388827431975281e-10,0.008184519575052614,2.8737074918731214,8.258194748847705
"dyad, cluster cell","CRN cell (1,200)",12000,1200,0.01336579527637062,0.0020879695198966542,0.00927345021655579,0.01745814033618545,1.5402279968205415e-10,0.008184690119629662,2.873767372630234,8.25853891199408
"condition mean, cluster condition",model x lang x pairing (120),1200,120,0.013365795276370274,0.006124854254021611,0.0013613015279309772,0.02537028902480957,0.029093109314423028,0.02400898749687859,8.429915355370698,71.06347289871468
