scope,n_dyads,coop_cooperative,coop_selfish,paired_delta_coop,coop_ci_lo,coop_ci_hi,cliffs_delta_coop,cohens_d_coop,first_coop_cooperative,first_coop_selfish,paired_delta_first,first_ci_lo,first_ci_hi,utility_cooperative,utility_selfish,paired_delta_utility,util_ci_lo,util_ci_hi,wilcoxon_p,p_fdr
pooled,6000,0.5842333333333333,0.6001166666666666,0.015883333333333336,0.0024824999999999986,0.02889208333333333,0.0362125,0.04382573587882973,0.4648333333333333,0.6693333333333333,0.2045,0.18691249999999998,0.22183333333333333,0.5946766666666667,0.5787933333333334,-0.015883333333333326,-0.028892083333333332,-0.0024825000000000025,0.04109643637526069,0.04794584243780414
Claude-Haiku-4.5,1000,0.43689999999999996,0.3485,-0.0884,-0.1034,-0.0728,-0.224278,-0.373694907774412,0.119,0.393,0.274,0.235,0.315,0.4705,0.5589,0.0884,0.0728,0.1034,1.057716014918097e-24,1.4808024208853359e-24
Qwen3-235B-A22B,1000,0.12760000000000002,0.9591,0.8315,0.816995,0.8453,0.998369,6.079486474161445,0.018,1.0,0.982,0.973,0.99,0.9478800000000001,0.11638000000000003,-0.8315,-0.8453,-0.8169950000000001,3.296034342803537e-168,2.307224039962476e-167
GPT-5.4-Nano,1000,0.6020999999999999,0.6185,0.016399999999999994,-0.0017524999999999973,0.03370000000000001,0.02018,0.05766019626804048,0.553,0.511,-0.042,-0.083,-0.004,0.6132000000000001,0.5968,-0.016399999999999994,-0.033699999999999994,0.0017524999999999889,0.15457424062269853,0.15457424062269856
Gemini-3.1-Flash-Lite,1000,0.8947,0.126,-0.7687000000000002,-0.7799050000000001,-0.7568425000000001,-0.990205,-4.940659694194806,0.999,0.499,-0.5,-0.529,-0.47,0.14154000000000003,0.91024,0.7687000000000002,0.7568425000000001,0.7799050000000001,4.644791730822983e-167,1.6256771057880442e-166
Grok-4.20-Non-Reasoning,1000,0.6375,0.8592000000000001,0.22169999999999998,0.205295,0.2373,0.351214,0.6913544041722475,0.379,0.715,0.336,0.304,0.366,0.7865200000000001,0.5648200000000002,-0.2217,-0.2373,-0.205295,5.575022473877768e-100,1.3008385772381458e-99
Gemini-3.5-Flash-Lite,1000,0.8066000000000001,0.6894,-0.1172,-0.1362525,-0.09860000000000001,-0.241013,-0.44328495447516025,0.721,0.898,0.177,0.143475,0.21252499999999985,0.6084200000000001,0.72562,0.11719999999999998,0.0986,0.13625249999999997,5.6340963422089855e-36,9.859668598865724e-36
