term,sum_sq,df,F,PR(>F),pct_variance
C(model),4.83297385416663,5.0,170.2598836746136,2.905119706671046e-66,44.774725605332314
C(language),0.12853453125000278,4.0,5.660147095542807,0.0002586571853861894,1.1907985727187969
C(scale_nominal),0.46610395833333274,9.0,9.122380284632609,2.493206543168633e-11,4.318185338400276
C(model):C(language),1.946731093749997,20.0,17.145251535029313,8.482697335233427e-32,18.035344940854163
C(model):C(scale_nominal),2.064602916666667,45.0,8.081498818392717,6.530268449505456e-25,19.12735964793647
C(language):C(scale_nominal),0.3331401562499988,36.0,1.63001790644581,0.020395780373896565,3.0863521165858456
Residual,1.02189109375,180.0,,,9.467233778172153
