removed,pooled_range,scale_chi2,scale_df,scale_p,n_dyads
Claude-Haiku-4.5,0.15690000000000004,203.2259833602019,9,6.978861425104633e-39,10000
GPT-5.4-Nano,0.10860000000000003,130.74182099525834,9,8.346221673546422e-24,10000
Gemini-3.1-Flash-Lite-Preview,0.1539000000000001,222.61801790032825,9,5.889391363785206e-43,10000
Gemini-3.5-Flash-Lite,0.15925,245.25097879527152,9,1.0029649546640198e-47,10000
Grok-4.20-Non-Reasoning,0.04789999999999994,22.359171028764994,9,0.007807754284702757,10000
Qwen3-235B-A22B,0.15405000000000002,255.25656686483663,9,7.742654796205283e-50,10000
