model,beta_logscale,se,p,dist_at_min_scale,dist_at_max_scale,mean_dist
Claude-Haiku-4.5,0.07298053822383177,0.015117584993329394,1.3823947951255582e-06,1.6975,2.0225,2.07325
GPT-5.4-Nano,0.03779059434329013,0.019484737051332884,0.05244081646901329,2.0225,2.1925,2.12025
Gemini-3.1-Flash-Lite-Preview,-0.018730517996497165,0.016696627548086374,0.2619413423548821,1.085,1.0275,1.0295
Gemini-3.5-Flash-Lite,0.19430012693214377,0.014971692613925638,1.6343948377981974e-38,0.48,1.365,1.07725
Grok-4.20-Non-Reasoning,-0.11760392083625955,0.01323470533436983,6.333418259508704e-19,0.915,0.3725,0.725
Qwen3-235B-A22B,0.20216840518222348,0.014472201287827686,2.395355086977366e-44,0.2725,1.1375,0.737
