arm,model,regime,effect,lo,hi,n,compliant,inverted
ten-scale,GPT-5.4-Nano,fractional,-0.07150000000000001,-0.10625000000000007,-0.03808125000000014,1600,0,1
ten-scale,GPT-5.4-Nano,large,0.036666666666666625,-0.0008375000000000157,0.07266666666666666,800,0,0
ten-scale,GPT-5.4-Nano,unit,0.018583333333333396,-0.013670833333333379,0.04841666666666655,1600,0,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,fractional,0.6497499999999998,0.6293270833333333,0.6691770833333333,1600,1,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,large,0.7043333333333335,0.6741624999999999,0.7345083333333334,800,1,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,unit,0.7373333333333335,0.7199166666666666,0.7553333333333332,1600,1,0
ten-scale,Gemini-3.5-Flash-Lite,fractional,-0.09941666666666671,-0.1315854166666667,-0.06891041666666678,1600,0,1
ten-scale,Gemini-3.5-Flash-Lite,large,0.20700000000000007,0.16246666666666665,0.2516666666666667,800,1,0
ten-scale,Gemini-3.5-Flash-Lite,unit,0.24050000000000016,0.21591458333333333,0.26683958333333335,1600,1,0
three-scale,Claude-3.5-Haiku,fractional,-0.31766666666666665,-0.3663333333333333,-0.267325,400,0,1
three-scale,Claude-3.5-Haiku,unit,-0.06199999999999983,-0.09633333333333338,-0.02816666666666678,800,0,1
three-scale,GPT-4o,fractional,-0.4383333333333333,-0.4823333333333333,-0.39265833333333333,400,0,1
three-scale,GPT-4o,unit,0.2524911406423034,0.20870905315614616,0.2944665282392026,800,1,0
three-scale,Mistral-Large,fractional,-0.5986666666666666,-0.6663416666666666,-0.528,400,0,1
three-scale,Mistral-Large,unit,-0.2031666666666665,-0.2635,-0.14215833333333328,800,0,1
