model,canonical4,memory1_32,two_regime,unexplained,canonical4_null,memory1_32_null,two_regime_null,unexplained_null
Claude-3.5-Haiku,0.14333333333333334,0.1225,0.31166666666666665,0.4225,0.12583333333333332,0.03333333333333333,0.22166666666666668,0.6191666666666666
Gemini-3.5-Flash-Lite,0.43583333333333335,0.08833333333333333,0.27416666666666667,0.20166666666666666,0.42083333333333334,0.03333333333333333,0.11416666666666667,0.43166666666666664
GPT-4o,0.2758333333333333,0.14,0.31416666666666665,0.27,0.25583333333333336,0.035,0.20333333333333334,0.5058333333333334
Mistral-Large,0.49833333333333335,0.1225,0.2275,0.15166666666666667,0.49416666666666664,0.020833333333333332,0.1325,0.3525
