arm,measure,column,min,max,swing,gap_obs,p,null95,moves
ten-scale,cooperation rate,coop_rate,0.6235833333333333,0.7121666666666667,0.08858333333333346,0.08858333333333179,0.0,0.04791666666666685,1
ten-scale,mutual cooperation (CC),cc_rate,0.4326666666666667,0.5421666666666667,0.10949999999999999,0.10950000000000054,0.0,0.06733333333333373,1
ten-scale,mutual defection (DD),dd_rate,0.11783333333333333,0.20716666666666667,0.08933333333333333,0.08933333333333283,0.0,0.03966666666666658,1
ten-scale,miscoordination (CD+DC),_mis,0.33849999999999997,0.41433333333333333,0.07583333333333336,0.07583333333333431,0.0005,0.0559999999999998,1
ten-scale,efficiency,efficiency,0.7674166666666666,0.8135833333333333,0.04616666666666669,0.04616666666666702,0.0,0.028480208333333916,1
ten-scale,opening cooperation,first_move_coop,0.605,0.7683333333333333,0.16333333333333333,0.16333333333333333,0.0,0.06500000000000006,1
three-scale,cooperation rate,coop_rate,0.42125,0.5895,0.16825,0.16824999999999946,0.0,0.03650416666666618,1
three-scale,mutual cooperation (CC),cc_rate,0.19616666666666668,0.379,0.18283333333333332,0.18283333333333326,0.0,0.04183333333333351,1
three-scale,mutual defection (DD),dd_rate,0.19983333333333334,0.35366666666666663,0.1538333333333333,0.15383333333333382,0.0,0.042675000000000116,1
three-scale,miscoordination (CD+DC),_mis,0.421,0.4501666666666667,0.02916666666666673,0.029166666666666896,0.2095,0.03985833333333367,0
three-scale,efficiency,efficiency,0.6543541666666667,0.7421249999999999,0.08777083333333324,0.08777083333333413,0.0,0.018877083333334037,1
three-scale,opening cooperation,first_move_coop,0.445,0.6266666666666667,0.1816666666666667,0.1816666666666667,0.0,0.04916666666666669,1
