scale_nominal,round,coop_persona,selfish_persona,gap
0.1,1,0.07125,0.88375,-0.8125
0.1,2,0.1575,0.60625,-0.44875
0.1,3,0.2125,0.73,-0.5175
0.1,4,0.24625,0.705,-0.45875
0.1,5,0.2375,0.7225,-0.48500000000000004
0.1,6,0.2575,0.72375,-0.46625
0.1,7,0.2825,0.75375,-0.47125000000000006
0.1,8,0.31625,0.7375,-0.42125000000000007
0.1,9,0.31875,0.735,-0.41625
0.1,10,0.3575,0.7325,-0.37500000000000006
1.0,1,0.4292866082603254,0.9213483146067416,-0.4920617063464162
1.0,2,0.6120150187734669,0.5892634207240949,0.02275159804937199
1.0,3,0.60450563204005,0.7253433208489388,-0.12083768880888879
1.0,4,0.6620775969962454,0.6566791510611736,0.005398445935071772
1.0,5,0.655819774718398,0.602996254681648,0.05282352003675006
1.0,6,0.6971214017521903,0.5168539325842697,0.18026746916792058
1.0,7,0.6545682102628285,0.581772784019975,0.07279542624285351
1.0,8,0.7133917396745932,0.5855181023720349,0.1278736373025583
1.0,9,0.7096370463078848,0.5280898876404494,0.18154715866743543
1.0,10,0.7083854818523154,0.5068664169787765,0.20151906487353888
10.0,1,0.435,0.91875,-0.48374999999999996
10.0,2,0.6375,0.53875,0.09875
10.0,3,0.64125,0.69,-0.04874999999999996
10.0,4,0.6675,0.56125,0.10624999999999996
10.0,5,0.68625,0.5775,0.10875000000000001
10.0,6,0.6975,0.56625,0.13124999999999998
10.0,7,0.705,0.55375,0.15125
10.0,8,0.72125,0.5475,0.17374999999999996
10.0,9,0.71,0.54125,0.16874999999999996
10.0,10,0.71,0.505,0.20499999999999996
