model,n_lambdas,spec,k,bic,r2,delta_bic
GPT-5.4-Nano,10,quadratic in log10 lambda,8,525.4758618147987,0.20934295090217458,0.0
GPT-5.4-Nano,10,cubic in log10 lambda,9,530.6500001808411,0.2099594054208449,5.174138366042371
GPT-5.4-Nano,10,saturated in lambda,15,536.1976939144902,0.2186445416276216,10.721832099691483
GPT-5.4-Nano,10,linear in log10 lambda,7,592.8201058374727,0.19424970975044964,67.34424402267405
GPT-5.4-Nano,10,notation regime (PRINTED),8,645.7758148587525,0.18520276101767041,120.29995304395379
GPT-5.4-Nano,10,fractional flag,7,646.7970704401507,0.18330302855910896,121.32120862535203
GPT-5.4-Nano,10,fractional + glyph count,8,650.2007609881637,0.18430090380372,124.72489917336497
GPT-5.4-Nano,10,notation regime (lambda),8,655.1765137677119,0.18328559318151882,129.70065195291318
GPT-5.4-Nano,10,controls only,6,746.3749134277048,0.16097869856104674,220.89905161290608
Gemini-3.1-Flash-Lite-Preview,10,linear in log10 lambda,7,-1334.1967286939523,0.7353226991192001,0.0
Gemini-3.1-Flash-Lite-Preview,10,quadratic in log10 lambda,8,-1326.610255524831,0.735369514835992,7.586473169121291
Gemini-3.1-Flash-Lite-Preview,10,fractional + glyph count,8,-1325.83302660715,0.7353180902236746,8.363702086802277
Gemini-3.1-Flash-Lite-Preview,10,notation regime (lambda),8,-1323.2085423606243,0.7351443698634759,10.98818633332803
Gemini-3.1-Flash-Lite-Preview,10,cubic in log10 lambda,9,-1320.9281114611301,0.7355422558919098,13.26861723282218
Gemini-3.1-Flash-Lite-Preview,10,notation regime (PRINTED),8,-1318.479770038872,0.7348310742187296,15.716958655080361
Gemini-3.1-Flash-Lite-Preview,10,fractional flag,7,-1304.5204284137487,0.7333517360336628,29.676300280203577
Gemini-3.1-Flash-Lite-Preview,10,controls only,6,-1297.0805456270293,0.7323008140550078,37.116183066922986
Gemini-3.1-Flash-Lite-Preview,10,saturated in lambda,15,-1276.285825321956,0.7358806780853278,57.910903371996255
Gemini-3.5-Flash-Lite,10,saturated in lambda,15,1453.306616837272,0.08811921132495204,0.0
Gemini-3.5-Flash-Lite,10,notation regime (lambda),8,1499.0060356745487,0.0641560814021428,45.69941883727665
Gemini-3.5-Flash-Lite,10,linear in log10 lambda,7,1502.3995731943635,0.061417643291987734,49.09295635709145
Gemini-3.5-Flash-Lite,10,quadratic in log10 lambda,8,1509.3311284805493,0.06173729213935408,56.024511643277265
Gemini-3.5-Flash-Lite,10,notation regime (PRINTED),8,1515.3526267559098,0.06032379166314805,62.046009918637765
Gemini-3.5-Flash-Lite,10,fractional + glyph count,8,1515.8126633978825,0.06021571407645543,62.50604656061046
Gemini-3.5-Flash-Lite,10,cubic in log10 lambda,9,1517.1081032400973,0.06185857231971681,63.801486402825276
Gemini-3.5-Flash-Lite,10,fractional flag,7,1517.5062233057618,0.05786623245719813,64.19960646848972
Gemini-3.5-Flash-Lite,10,controls only,6,1534.1711870360002,0.05196917116130362,80.86457019872819
