model,n,affords_reaction,deduced_reactive_all,deduced_reactive_given_afford,deduced_constant_given_afford
Claude-3.5-Haiku,1200,0.8841666666666667,0.030833333333333334,0.034872761545711596,0.060320452403393024
Gemini-3.5-Flash-Lite,1200,0.5275,0.021666666666666667,0.036334913112164295,0.2938388625592417
GPT-4o,1200,0.73,0.020833333333333332,0.019406392694063926,0.11301369863013698
Mistral-Large,1200,0.5008333333333334,0.005833333333333334,0.0016638935108153079,0.36938435940099834
all models,4800,0.660625,0.019791666666666666,0.02459791863765374,0.18006937874487544
