model,self_persist,opp_match,self_influence,self_lo,self_hi,opp_influence,opp_lo,opp_hi
Claude-3.5-Haiku,0.6481481481481481,0.6881481481481482,0.2449704718156705,0.22751258630302093,0.2630642491858842,0.3292216577988272,0.31149781655871683,0.3482256652558951
Gemini-3.5-Flash-Lite,0.8612962962962963,0.7344444444444445,0.6444657987162128,0.6267979940773192,0.6618234572774637,0.308911630190459,0.288595203017756,0.3290862564714261
GPT-4o,0.7785185185185185,0.5662962962962963,0.5485730639814312,0.5324716180146613,0.5641905669564895,0.1202020468068919,0.10147818250769201,0.13899589415475752
Mistral-Large,0.8572222222222222,0.4262962962962963,0.7145848791646514,0.7012630038484732,0.7274210610562102,-0.14941099207123687,-0.1682093723729176,-0.13093594241182657
