arm,framing,lambda,coop,lo,hi
ten-scale,maximise,0.01,0.5325,0.4887395833333333,0.5766666666666665
ten-scale,maximise,0.1,0.6285416666666667,0.5887395833333332,0.6658333333333334
ten-scale,maximise,0.25,0.6435416666666666,0.60625,0.6800052083333332
ten-scale,maximise,0.5,0.660625,0.6277083333333334,0.6929270833333332
ten-scale,maximise,1.0,0.6375,0.6072760416666667,0.6672968749999999
ten-scale,maximise,2.0,0.6554166666666668,0.6247864583333336,0.6856458333333333
ten-scale,maximise,5.0,0.6766666666666666,0.6464583333333335,0.7075052083333333
ten-scale,maximise,10.0,0.6754166666666668,0.645,0.705
ten-scale,maximise,100.0,0.6760416666666667,0.648953125,0.7052083333333333
ten-scale,maximise,1000.0,0.64125,0.608125,0.6729166666666667
ten-scale,minimise,0.01,0.6843055555555555,0.6549965277777778,0.7120902777777778
ten-scale,minimise,0.1,0.6268055555555555,0.5965277777777778,0.6588888888888889
ten-scale,minimise,0.25,0.7579166666666667,0.7330555555555557,0.7809756944444445
ten-scale,minimise,0.5,0.6923611111111111,0.6688854166666667,0.7155590277777778
ten-scale,minimise,1.0,0.6777777777777778,0.6552708333333334,0.7030555555555554
ten-scale,minimise,2.0,0.6526388888888889,0.6269444444444444,0.6784756944444444
ten-scale,minimise,5.0,0.655,0.6291666666666667,0.6808402777777778
ten-scale,minimise,10.0,0.652638888888889,0.6269444444444445,0.6780590277777778
ten-scale,minimise,100.0,0.65,0.6230520833333334,0.6772256944444445
ten-scale,minimise,1000.0,0.6341666666666667,0.6087465277777777,0.6608333333333334
three-scale,maximise,0.1,0.44291666666666674,0.4106197916666666,0.4764635416666666
three-scale,maximise,1.0,0.5722916666666666,0.540828125,0.6035416666666668
three-scale,maximise,10.0,0.5422916666666667,0.5091666666666667,0.575
three-scale,minimise,0.1,0.40680555555555553,0.3784722222222222,0.43444791666666666
three-scale,minimise,1.0,0.5954166666666667,0.5677743055555555,0.6215381944444444
three-scale,minimise,10.0,0.6209722222222223,0.5951319444444444,0.6463888888888889
