arm,lambda,printed_cells,regime,is_fractional,mean_glyphs,max_digits,greed,fear,dominant_action,nash
open-weight,0.01,0 / 0.02 / 0.08 / 0.1,fractional,1,3.0,1,0.19999999999999998,0.20000000000000004,A,"(A,A)"
open-weight,0.1,0 / 0.2 / 0.8 / 1,fractional,1,2.0,1,0.2,0.19999999999999996,A,"(A,A)"
open-weight,1.0,0 / 2 / 8 / 10,unit,0,1.25,2,0.2,0.2,A,"(A,A)"
open-weight,10.0,0 / 20 / 80 / 100,unit,0,2.0,3,0.2,0.2,A,"(A,A)"
open-weight,100.0,0 / 200 / 800 / 1000,large,0,2.75,4,0.2,0.2,A,"(A,A)"
open-weight,1000.0,0 / 2000 / 8000 / 10000,large,0,3.5,5,0.2,0.2,A,"(A,A)"
frontier,0.1,0 / 0.2 / 0.6 / 1,fractional,1,2.0,1,0.2,0.3999999999999999,A,"(A,A)"
frontier,1.0,0 / 2 / 6 / 10,unit,0,1.25,2,0.2,0.4,A,"(A,A)"
frontier,10.0,0 / 20 / 60 / 100,unit,0,2.0,3,0.2,0.4,A,"(A,A)"
